file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/constant-swap/mutant41/mutant41-static/6.grift,#(struct:srcloc 6.grift 112 23 4832 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4821 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static.grift,#(struct:srcloc mutant44-static.grift 203 24 5825 9),bug-loc,1, (#(struct:srcloc mutant44-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static/0.grift,#(struct:srcloc 0.grift 112 27 4929 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static/1.grift,#(struct:srcloc 1.grift 112 27 4917 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4902 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static/2.grift,#(struct:srcloc 2.grift 112 27 4892 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4877 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static/4.grift,#(struct:srcloc 4.grift 112 27 4879 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4864 49))
/exp/blackscholes/constant-swap/mutant44/mutant44-static/6.grift,#(struct:srcloc 6.grift 112 27 4836 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4821 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static.grift,#(struct:srcloc mutant47-static.grift 203 28 5829 9),bug-loc,1, (#(struct:srcloc mutant47-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/0.grift,#(struct:srcloc 0.grift 112 31 4933 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/1.grift,#(struct:srcloc 1.grift 112 31 4921 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4902 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/2.grift,#(struct:srcloc 2.grift 112 31 4896 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4877 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/3.grift,#(struct:srcloc 3.grift 112 31 4886 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4867 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/4.grift,#(struct:srcloc 4.grift 112 31 4844 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4825 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/5.grift,#(struct:srcloc 5.grift 112 31 4882 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4863 49))
/exp/blackscholes/constant-swap/mutant47/mutant47-static/6.grift,#(struct:srcloc 6.grift 112 31 4878 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4859 49))
/exp/blackscholes/constant-swap/mutant50/mutant50-static.grift,#(struct:srcloc mutant50-static.grift 203 32 5833 9),bug-loc,1, (#(struct:srcloc mutant50-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant50/mutant50-static/0.grift,#(struct:srcloc 0.grift 112 35 4937 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant50/mutant50-static/3.grift,#(struct:srcloc 3.grift 112 35 4891 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4868 49))
/exp/blackscholes/constant-swap/mutant50/mutant50-static/5.grift,#(struct:srcloc 5.grift 112 35 4886 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4863 49))
/exp/blackscholes/constant-swap/mutant50/mutant50-static/6.grift,#(struct:srcloc 6.grift 112 35 4845 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4822 49))
/exp/blackscholes/constant-swap/mutant53/mutant53-static.grift,#(struct:srcloc mutant53-static.grift 203 36 5837 9),bug-loc,1, (#(struct:srcloc mutant53-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant53/mutant53-static/0.grift,#(struct:srcloc 0.grift 112 39 4941 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
